	pos	hei	wei	ID	filename
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.5	3219	4465	194	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.5
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.6	3255	356	197	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.6
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.7	3330	326	203	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.7
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.1	3068	4326	182	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.1
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.2	3106	6587	185	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.2
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.3	3143	4088	188	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.3
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.4	3180	9802	191	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.4
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.5	3217	7223	194	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.5
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.6	3253	541	197	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.6
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.7	3327	307	203	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.7
Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.8	3437	158	212	Multiplex_set_I_Shaem.1b	Multiplex_set_I_Shaem.1b_1_Sample_20221028_232301.fsa.8
Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.1	3019	4232	182	Multiplex_set_I_Shaem.3a	Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.1
Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.2	3056	11638	185	Multiplex_set_I_Shaem.3a	Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.2
Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.3	3092	12267	188	Multiplex_set_I_Shaem.3a	Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.3
Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.4	3128	8511	191	Multiplex_set_I_Shaem.3a	Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.4
Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.5	3165	4801	194	Multiplex_set_I_Shaem.3a	Multiplex_set_I_Shaem.3a_2_Sample_20221028_215633.fsa.5
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.1	2980	115	179	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.1
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.2	3016	6122	182	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.2
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.3	3028	116	182	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.3
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.4	3053	17054	185	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.4
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.5	3089	18243	188	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.5
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.6	3126	12657	191	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.6
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.7	3162	7868	194	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.7
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.8	3198	107	197	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.8
Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.9	3270	137	203	Multiplex_set_I_Shaem.3b	Multiplex_set_I_Shaem.3b_2_Sample_20221028_232302.fsa.9
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.1	2972	141	173	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.1
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.2	3009	171	176	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.2
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.3	3040	158	179	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.3
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.4	3077	6192	182	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.4
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.5	3090	123	182	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.5
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.6	3115	23975	185	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.6
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.7	3152	31101	188	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.7
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.8	3189	17247	191	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.8
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.9	3226	3608	194	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.9
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.10	3262	352	197	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.10
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.11	3299	153	200	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.11
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.12	3337	1123	203	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.12
Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.13	3374	227	206	Multiplex_set_I_Shaem.4a	Multiplex_set_I_Shaem.4a_3_Sample_20221028_215634.fsa.13
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.1	2970	116	173	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.1
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.2	3007	131	176	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.2
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.3	3039	139	179	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.3
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.4	3075	5008	182	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.4
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.5	3113	20009	185	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.5
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.6	3150	25679	188	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.6
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.7	3187	12899	191	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.7
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.8	3225	3485	194	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.8
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.9	3261	393	197	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.9
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.10	3298	131	200	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.10
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.11	3335	772	203	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.11
Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.12	3373	184	206	Multiplex_set_I_Shaem.4b	Multiplex_set_I_Shaem.4b_3_Sample_20221028_232303.fsa.12
